abbrev,title,cluster,qid,block,primary_drift,condition,suffix_was_stripped,tokens,d1,d2,d3,d4,total,d1_per1k,d2_per1k,d3_per1k,d4_per1k,total_per1k,tokens_raw,d4_raw,total_raw,d4_per1k_raw,total_per1k_raw
aobf,Autobiography of Benjamin Franklin,G2,Q01,1,D3,A1,False,275,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,275,0,0,0.0,0.0
aobf,Autobiography of Benjamin Franklin,G2,Q01,1,D3,A2,False,162,0,0,0,1,1,0.0,0.0,0.0,6.172839506172839,6.172839506172839,162,1,1,6.172839506172839,6.172839506172839
aobf,Autobiography of Benjamin Franklin,G2,Q01,1,D3,B,True,141,0,1,0,1,2,0.0,7.092198581560283,0.0,7.092198581560283,14.184397163120567,160,2,3,12.5,18.75
aobf,Autobiography of Benjamin Franklin,G2,Q02,1,D3,A1,False,366,0,3,0,0,3,0.0,8.196721311475411,0.0,0.0,8.196721311475411,366,0,3,0.0,8.196721311475411
aobf,Autobiography of Benjamin Franklin,G2,Q02,1,D3,A2,False,278,0,1,0,0,1,0.0,3.5971223021582737,0.0,0.0,3.5971223021582737,278,0,1,0.0,3.5971223021582737
aobf,Autobiography of Benjamin Franklin,G2,Q02,1,D3,B,True,131,0,1,0,0,1,0.0,7.633587786259541,0.0,0.0,7.633587786259541,151,1,2,6.622516556291391,13.245033112582782
aobf,Autobiography of Benjamin Franklin,G2,Q03,1,D3,A1,False,302,0,1,0,0,1,0.0,3.3112582781456954,0.0,0.0,3.3112582781456954,302,0,1,0.0,3.3112582781456954
aobf,Autobiography of Benjamin Franklin,G2,Q03,1,D3,A2,False,264,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,264,0,0,0.0,0.0
aobf,Autobiography of Benjamin Franklin,G2,Q03,1,D3,B,True,141,0,1,1,0,2,0.0,7.092198581560283,7.092198581560283,0.0,14.184397163120567,162,1,3,6.172839506172839,18.51851851851852
aobf,Autobiography of Benjamin Franklin,G2,Q04,2,D1,A1,False,405,1,0,0,0,1,2.4691358024691357,0.0,0.0,0.0,2.4691358024691357,405,0,1,0.0,2.4691358024691357
aobf,Autobiography of Benjamin Franklin,G2,Q04,2,D1,A2,False,311,0,2,1,0,3,0.0,6.430868167202572,3.215434083601286,0.0,9.64630225080386,311,0,3,0.0,9.64630225080386
aobf,Autobiography of Benjamin Franklin,G2,Q04,2,D1,B,True,158,0,1,0,0,1,0.0,6.329113924050633,0.0,0.0,6.329113924050633,182,1,3,5.4945054945054945,16.483516483516485
aobf,Autobiography of Benjamin Franklin,G2,Q05,2,D1,A1,False,456,1,2,1,0,4,2.1929824561403506,4.385964912280701,2.1929824561403506,0.0,8.771929824561402,456,0,4,0.0,8.771929824561402
aobf,Autobiography of Benjamin Franklin,G2,Q05,2,D1,A2,False,329,0,2,2,1,5,0.0,6.079027355623101,6.079027355623101,3.0395136778115504,15.197568389057752,329,1,5,3.0395136778115504,15.197568389057752
aobf,Autobiography of Benjamin Franklin,G2,Q05,2,D1,B,True,147,0,1,0,0,1,0.0,6.802721088435374,0.0,0.0,6.802721088435374,168,1,2,5.952380952380952,11.904761904761903
aobf,Autobiography of Benjamin Franklin,G2,Q06,3,D2,A1,False,575,0,5,1,0,6,0.0,8.695652173913043,1.7391304347826089,0.0,10.434782608695652,575,0,6,0.0,10.434782608695652
aobf,Autobiography of Benjamin Franklin,G2,Q06,3,D2,A2,False,438,0,3,0,0,3,0.0,6.8493150684931505,0.0,0.0,6.8493150684931505,438,0,3,0.0,6.8493150684931505
aobf,Autobiography of Benjamin Franklin,G2,Q06,3,D2,B,True,163,0,1,1,0,2,0.0,6.134969325153374,6.134969325153374,0.0,12.269938650306749,186,1,3,5.376344086021506,16.129032258064516
aobf,Autobiography of Benjamin Franklin,G2,Q07,3,D2,A1,False,484,0,1,0,1,2,0.0,2.066115702479339,0.0,2.066115702479339,4.132231404958678,484,1,2,2.066115702479339,4.132231404958678
aobf,Autobiography of Benjamin Franklin,G2,Q07,3,D2,A2,False,411,0,1,1,1,3,0.0,2.4330900243309004,2.4330900243309004,2.4330900243309004,7.299270072992701,411,1,3,2.4330900243309004,7.299270072992701
aobf,Autobiography of Benjamin Franklin,G2,Q07,3,D2,B,True,173,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,192,1,1,5.208333333333333,5.208333333333333
aobf,Autobiography of Benjamin Franklin,G2,Q08,3,D2,A1,False,503,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,503,0,0,0.0,0.0
aobf,Autobiography of Benjamin Franklin,G2,Q08,3,D2,A2,False,419,0,2,2,0,4,0.0,4.773269689737471,4.773269689737471,0.0,9.546539379474941,419,0,4,0.0,9.546539379474941
aobf,Autobiography of Benjamin Franklin,G2,Q08,3,D2,B,True,169,0,0,1,0,1,0.0,0.0,5.9171597633136095,0.0,5.9171597633136095,192,1,2,5.208333333333333,10.416666666666666
aobf,Autobiography of Benjamin Franklin,G2,Q09,4,D3,A1,False,583,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,583,0,0,0.0,0.0
aobf,Autobiography of Benjamin Franklin,G2,Q09,4,D3,A2,False,394,0,1,0,0,1,0.0,2.5380710659898473,0.0,0.0,2.5380710659898473,394,0,1,0.0,2.5380710659898473
aobf,Autobiography of Benjamin Franklin,G2,Q09,4,D3,B,True,195,0,1,0,0,1,0.0,5.128205128205129,0.0,0.0,5.128205128205129,216,1,2,4.62962962962963,9.25925925925926
aobf,Autobiography of Benjamin Franklin,G2,Q10,4,D3,A1,False,610,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,610,0,0,0.0,0.0
aobf,Autobiography of Benjamin Franklin,G2,Q10,4,D3,A2,False,452,1,2,1,0,4,2.2123893805309733,4.424778761061947,2.2123893805309733,0.0,8.849557522123893,452,0,4,0.0,8.849557522123893
aobf,Autobiography of Benjamin Franklin,G2,Q10,4,D3,B,True,222,0,1,1,0,2,0.0,4.504504504504505,4.504504504504505,0.0,9.00900900900901,245,1,3,4.081632653061225,12.244897959183673
aobf,Autobiography of Benjamin Franklin,G2,Q11,5,D1,A1,False,671,0,2,0,0,2,0.0,2.9806259314456036,0.0,0.0,2.9806259314456036,671,0,2,0.0,2.9806259314456036
aobf,Autobiography of Benjamin Franklin,G2,Q11,5,D1,A2,False,551,1,4,1,1,7,1.8148820326678765,7.259528130671506,1.8148820326678765,1.8148820326678765,12.704174228675136,551,1,7,1.8148820326678765,12.704174228675136
aobf,Autobiography of Benjamin Franklin,G2,Q11,5,D1,B,True,191,0,2,0,1,3,0.0,10.471204188481677,0.0,5.235602094240838,15.706806282722512,213,2,4,9.389671361502348,18.779342723004696
aobf,Autobiography of Benjamin Franklin,G2,Q12,5,D4,A1,False,324,0,2,1,0,3,0.0,6.172839506172839,3.0864197530864197,0.0,9.25925925925926,324,0,3,0.0,9.25925925925926
aobf,Autobiography of Benjamin Franklin,G2,Q12,5,D4,A2,False,259,1,5,1,1,8,3.8610038610038613,19.305019305019304,3.8610038610038613,3.8610038610038613,30.88803088803089,259,1,8,3.8610038610038613,30.88803088803089
aobf,Autobiography of Benjamin Franklin,G2,Q12,5,D4,B,True,143,0,0,1,0,1,0.0,0.0,6.993006993006993,0.0,6.993006993006993,165,1,2,6.0606060606060606,12.121212121212121
aobf,Autobiography of Benjamin Franklin,G2,Q13,5,D4,A1,False,384,0,2,2,0,4,0.0,5.208333333333333,5.208333333333333,0.0,10.416666666666666,384,0,4,0.0,10.416666666666666
aobf,Autobiography of Benjamin Franklin,G2,Q13,5,D4,A2,False,421,1,2,2,0,5,2.375296912114014,4.750593824228028,4.750593824228028,0.0,11.876484560570072,421,0,5,0.0,11.876484560570072
aobf,Autobiography of Benjamin Franklin,G2,Q13,5,D4,B,True,181,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,203,1,1,4.926108374384237,4.926108374384237
aobf,Autobiography of Benjamin Franklin,G2,Q14,5,D3,A1,False,383,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,383,0,0,0.0,0.0
aobf,Autobiography of Benjamin Franklin,G2,Q14,5,D3,A2,False,424,0,2,0,0,2,0.0,4.716981132075471,0.0,0.0,4.716981132075471,424,0,2,0.0,4.716981132075471
aobf,Autobiography of Benjamin Franklin,G2,Q14,5,D3,B,True,185,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,205,1,1,4.878048780487805,4.878048780487805
aobf,Autobiography of Benjamin Franklin,G2,Q15,5,D3,A1,False,470,0,3,3,0,6,0.0,6.382978723404255,6.382978723404255,0.0,12.76595744680851,470,0,6,0.0,12.76595744680851
aobf,Autobiography of Benjamin Franklin,G2,Q15,5,D3,A2,False,485,0,5,2,0,7,0.0,10.309278350515465,4.123711340206186,0.0,14.43298969072165,485,0,7,0.0,14.43298969072165
aobf,Autobiography of Benjamin Franklin,G2,Q15,5,D3,B,True,184,0,1,1,1,3,0.0,5.434782608695652,5.434782608695652,5.434782608695652,16.304347826086957,205,2,4,9.75609756097561,19.51219512195122
aow,Art of War,G3,Q01,1,D3,A1,False,399,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,399,0,0,0.0,0.0
aow,Art of War,G3,Q01,1,D3,A2,False,179,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0
aow,Art of War,G3,Q01,1,D3,B,True,154,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,171,1,1,5.847953216374268,5.847953216374268
aow,Art of War,G3,Q02,1,D3,A1,False,368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,368,0,0,0.0,0.0
aow,Art of War,G3,Q02,1,D3,A2,False,222,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,222,0,0,0.0,0.0
aow,Art of War,G3,Q02,1,D3,B,True,166,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,184,1,1,5.434782608695652,5.434782608695652
aow,Art of War,G3,Q03,1,D3,A1,False,307,0,1,0,0,1,0.0,3.257328990228013,0.0,0.0,3.257328990228013,307,0,1,0.0,3.257328990228013
aow,Art of War,G3,Q03,1,D3,A2,False,248,0,0,2,0,2,0.0,0.0,8.064516129032258,0.0,8.064516129032258,248,0,2,0.0,8.064516129032258
aow,Art of War,G3,Q03,1,D3,B,True,167,0,0,1,0,1,0.0,0.0,5.9880239520958085,0.0,5.9880239520958085,184,1,2,5.434782608695652,10.869565217391305
aow,Art of War,G3,Q04,2,D1,A1,False,548,1,1,3,0,5,1.8248175182481752,1.8248175182481752,5.474452554744526,0.0,9.124087591240874,548,0,5,0.0,9.124087591240874
aow,Art of War,G3,Q04,2,D1,A2,False,273,0,3,0,1,4,0.0,10.989010989010989,0.0,3.663003663003663,14.652014652014651,273,1,4,3.663003663003663,14.652014652014651
aow,Art of War,G3,Q04,2,D1,B,True,171,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,187,1,1,5.347593582887701,5.347593582887701
aow,Art of War,G3,Q05,2,D1,A1,False,469,0,0,1,0,1,0.0,0.0,2.1321961620469083,0.0,2.1321961620469083,469,0,1,0.0,2.1321961620469083
aow,Art of War,G3,Q05,2,D1,A2,False,311,0,1,0,0,1,0.0,3.215434083601286,0.0,0.0,3.215434083601286,311,0,1,0.0,3.215434083601286
aow,Art of War,G3,Q05,2,D1,B,True,152,0,1,0,0,1,0.0,6.578947368421052,0.0,0.0,6.578947368421052,171,1,2,5.847953216374268,11.695906432748536
aow,Art of War,G3,Q06,3,D2,A1,False,527,0,1,2,0,3,0.0,1.8975332068311195,3.795066413662239,0.0,5.692599620493358,527,0,3,0.0,5.692599620493358
aow,Art of War,G3,Q06,3,D2,A2,False,409,0,1,2,0,3,0.0,2.444987775061125,4.88997555012225,0.0,7.334963325183374,409,0,3,0.0,7.334963325183374
aow,Art of War,G3,Q06,3,D2,B,True,177,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,195,1,1,5.128205128205129,5.128205128205129
aow,Art of War,G3,Q07,3,D2,A1,False,532,0,1,0,0,1,0.0,1.8796992481203008,0.0,0.0,1.8796992481203008,532,0,1,0.0,1.8796992481203008
aow,Art of War,G3,Q07,3,D2,A2,False,443,0,3,0,3,6,0.0,6.772009029345372,0.0,6.772009029345372,13.544018058690744,443,3,6,6.772009029345372,13.544018058690744
aow,Art of War,G3,Q07,3,D2,B,True,203,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,221,1,1,4.524886877828055,4.524886877828055
aow,Art of War,G3,Q08,3,D2,A1,False,541,0,3,0,0,3,0.0,5.545286506469501,0.0,0.0,5.545286506469501,541,0,3,0.0,5.545286506469501
aow,Art of War,G3,Q08,3,D2,A2,False,374,1,1,0,0,2,2.6737967914438503,2.6737967914438503,0.0,0.0,5.347593582887701,374,0,2,0.0,5.347593582887701
aow,Art of War,G3,Q08,3,D2,B,True,190,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,204,1,1,4.901960784313726,4.901960784313726
aow,Art of War,G3,Q09,4,D3,A1,False,564,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,564,0,0,0.0,0.0
aow,Art of War,G3,Q09,4,D3,A2,False,401,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,401,0,0,0.0,0.0
aow,Art of War,G3,Q09,4,D3,B,True,194,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,215,1,1,4.651162790697675,4.651162790697675
aow,Art of War,G3,Q10,4,D3,A1,False,549,0,2,0,0,2,0.0,3.6429872495446265,0.0,0.0,3.6429872495446265,549,0,2,0.0,3.6429872495446265
aow,Art of War,G3,Q10,4,D3,A2,False,471,0,1,1,0,2,0.0,2.1231422505307855,2.1231422505307855,0.0,4.246284501061571,471,0,2,0.0,4.246284501061571
aow,Art of War,G3,Q10,4,D3,B,True,213,0,1,1,0,2,0.0,4.694835680751174,4.694835680751174,0.0,9.389671361502348,229,1,3,4.366812227074235,13.100436681222707
aow,Art of War,G3,Q11,5,D1,A1,False,774,0,4,0,0,4,0.0,5.167958656330749,0.0,0.0,5.167958656330749,774,0,4,0.0,5.167958656330749
aow,Art of War,G3,Q11,5,D1,A2,False,595,0,1,0,1,2,0.0,1.680672268907563,0.0,1.680672268907563,3.361344537815126,595,1,2,1.680672268907563,3.361344537815126
aow,Art of War,G3,Q11,5,D1,B,True,258,0,1,0,0,1,0.0,3.875968992248062,0.0,0.0,3.875968992248062,276,1,2,3.6231884057971016,7.246376811594203
aow,Art of War,G3,Q12,5,D4,A1,False,373,0,1,0,0,1,0.0,2.680965147453083,0.0,0.0,2.680965147453083,373,0,1,0.0,2.680965147453083
aow,Art of War,G3,Q12,5,D4,A2,False,318,0,5,0,0,5,0.0,15.723270440251572,0.0,0.0,15.723270440251572,318,0,5,0.0,15.723270440251572
aow,Art of War,G3,Q12,5,D4,B,True,150,0,1,0,0,1,0.0,6.666666666666667,0.0,0.0,6.666666666666667,170,1,2,5.88235294117647,11.76470588235294
aow,Art of War,G3,Q13,5,D4,A1,False,426,0,2,2,0,4,0.0,4.694835680751174,4.694835680751174,0.0,9.389671361502348,426,0,4,0.0,9.389671361502348
aow,Art of War,G3,Q13,5,D4,A2,False,430,0,0,1,0,1,0.0,0.0,2.3255813953488373,0.0,2.3255813953488373,430,0,1,0.0,2.3255813953488373
aow,Art of War,G3,Q13,5,D4,B,True,181,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,199,1,1,5.025125628140704,5.025125628140704
aow,Art of War,G3,Q14,5,D3,A1,False,367,0,2,0,0,2,0.0,5.449591280653951,0.0,0.0,5.449591280653951,367,0,2,0.0,5.449591280653951
aow,Art of War,G3,Q14,5,D3,A2,False,381,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,381,0,0,0.0,0.0
aow,Art of War,G3,Q14,5,D3,B,True,193,0,1,0,0,1,0.0,5.181347150259067,0.0,0.0,5.181347150259067,213,1,2,4.694835680751174,9.389671361502348
aow,Art of War,G3,Q15,5,D3,A1,False,472,0,1,3,0,4,0.0,2.1186440677966103,6.355932203389831,0.0,8.474576271186441,472,0,4,0.0,8.474576271186441
aow,Art of War,G3,Q15,5,D3,A2,False,474,0,4,4,1,9,0.0,8.438818565400844,8.438818565400844,2.109704641350211,18.9873417721519,474,1,9,2.109704641350211,18.9873417721519
aow,Art of War,G3,Q15,5,D3,B,True,193,0,0,1,0,1,0.0,0.0,5.181347150259067,0.0,5.181347150259067,212,1,2,4.716981132075471,9.433962264150942
coa,The Confessions of St. Augustine,G1,Q01,1,D3,A1,False,420,0,0,2,0,2,0.0,0.0,4.761904761904763,0.0,4.761904761904763,420,0,2,0.0,4.761904761904763
coa,The Confessions of St. Augustine,G1,Q01,1,D3,A2,False,158,0,0,1,0,1,0.0,0.0,6.329113924050633,0.0,6.329113924050633,158,0,1,0.0,6.329113924050633
coa,The Confessions of St. Augustine,G1,Q01,1,D3,B,True,132,0,1,1,0,2,0.0,7.575757575757576,7.575757575757576,0.0,15.151515151515152,153,1,3,6.5359477124183005,19.607843137254903
coa,The Confessions of St. Augustine,G1,Q02,1,D3,A1,False,364,0,0,1,0,1,0.0,0.0,2.7472527472527473,0.0,2.7472527472527473,364,0,1,0.0,2.7472527472527473
coa,The Confessions of St. Augustine,G1,Q02,1,D3,A2,False,276,0,1,1,0,2,0.0,3.6231884057971016,3.6231884057971016,0.0,7.246376811594203,276,0,2,0.0,7.246376811594203
coa,The Confessions of St. Augustine,G1,Q02,1,D3,B,True,139,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,158,0,0,0.0,0.0
coa,The Confessions of St. Augustine,G1,Q03,1,D3,A1,False,432,0,1,2,0,3,0.0,2.314814814814815,4.62962962962963,0.0,6.944444444444444,432,0,3,0.0,6.944444444444444
coa,The Confessions of St. Augustine,G1,Q03,1,D3,A2,False,226,0,0,1,0,1,0.0,0.0,4.424778761061947,0.0,4.424778761061947,226,0,1,0.0,4.424778761061947
coa,The Confessions of St. Augustine,G1,Q03,1,D3,B,True,144,0,1,0,1,2,0.0,6.944444444444444,0.0,6.944444444444444,13.888888888888888,168,2,3,11.904761904761903,17.857142857142858
coa,The Confessions of St. Augustine,G1,Q04,2,D1,A1,False,476,0,1,2,0,3,0.0,2.100840336134454,4.201680672268908,0.0,6.302521008403361,476,0,3,0.0,6.302521008403361
coa,The Confessions of St. Augustine,G1,Q04,2,D1,A2,False,295,0,3,4,1,8,0.0,10.169491525423728,13.559322033898304,3.389830508474576,27.11864406779661,295,1,8,3.389830508474576,27.11864406779661
coa,The Confessions of St. Augustine,G1,Q04,2,D1,B,True,148,0,0,1,0,1,0.0,0.0,6.756756756756757,0.0,6.756756756756757,170,1,2,5.88235294117647,11.76470588235294
coa,The Confessions of St. Augustine,G1,Q05,2,D1,A1,False,569,0,1,1,1,3,0.0,1.757469244288225,1.757469244288225,1.757469244288225,5.272407732864675,569,1,3,1.757469244288225,5.272407732864675
coa,The Confessions of St. Augustine,G1,Q05,2,D1,A2,False,335,0,1,0,1,2,0.0,2.985074626865672,0.0,2.985074626865672,5.970149253731344,335,1,2,2.985074626865672,5.970149253731344
coa,The Confessions of St. Augustine,G1,Q05,2,D1,B,True,183,0,0,0,1,1,0.0,0.0,0.0,5.46448087431694,5.46448087431694,203,2,2,9.852216748768473,9.852216748768473
coa,The Confessions of St. Augustine,G1,Q06,3,D2,A1,False,681,0,0,4,1,5,0.0,0.0,5.873715124816446,1.4684287812041115,7.342143906020558,681,1,5,1.4684287812041115,7.342143906020558
coa,The Confessions of St. Augustine,G1,Q06,3,D2,A2,False,404,1,3,2,0,6,2.4752475247524752,7.425742574257425,4.9504950495049505,0.0,14.85148514851485,404,0,6,0.0,14.85148514851485
coa,The Confessions of St. Augustine,G1,Q06,3,D2,B,True,150,0,0,1,0,1,0.0,0.0,6.666666666666667,0.0,6.666666666666667,173,1,2,5.780346820809248,11.560693641618496
coa,The Confessions of St. Augustine,G1,Q07,3,D2,A1,False,631,0,0,2,1,3,0.0,0.0,3.1695721077654517,1.5847860538827259,4.754358161648177,631,1,3,1.5847860538827259,4.754358161648177
coa,The Confessions of St. Augustine,G1,Q07,3,D2,A2,False,403,1,4,1,2,8,2.4813895781637716,9.925558312655086,2.4813895781637716,4.962779156327543,19.851116625310173,403,2,8,4.962779156327543,19.851116625310173
coa,The Confessions of St. Augustine,G1,Q07,3,D2,B,True,156,0,0,1,0,1,0.0,0.0,6.41025641025641,0.0,6.41025641025641,179,1,2,5.58659217877095,11.1731843575419
coa,The Confessions of St. Augustine,G1,Q08,3,D2,A1,False,567,0,0,5,0,5,0.0,0.0,8.818342151675484,0.0,8.818342151675484,567,0,5,0.0,8.818342151675484
coa,The Confessions of St. Augustine,G1,Q08,3,D2,A2,False,448,0,5,2,0,7,0.0,11.160714285714286,4.464285714285714,0.0,15.625,448,0,7,0.0,15.625
